id,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateMothball,DateOut,lat,lon,EIC,projectID
2341,Jochenstein jochenstein jochenstein,Hydro,Run-Of-River,Store,Austria,132.0,,0.0,0.0,0.0,0.0,1956.0,1956.0,,,48.5191878,13.707966599999999,[nan],"{'JRC': ['H247'], 'GEO': ['GEO45169']}"
2342,Nant drance nant drance nant drance,Hydro,Pumped Storage,Store,Switzerland,914.0,,0.0,13.8,45.0,0.0,2018.0,2018.0,,,46.1025948,7.07705509999999,[nan],"{'JRC': ['H23'], 'GEO': ['GEO45484']}"
2343,Cunovo cunovo,Hydro,Run-Of-River,Store,Slovakia,24.0,,0.0,0.0,0.0,0.0,1997.0,1997.0,,,48.02987,17.2254,[nan],"{'JRC': ['H1292'], 'GEO': ['GEO42641']}"
2344,Artouste artouste,Hydro,Reservoir,Store,France,88.0,,0.0,6.7,56.0,0.0,1947.0,,,,42.887,-0.41100000000000003,[nan],"{'JRC': ['H574'], 'GEO': ['GEO39802']}"
2345,Ashta,Hydro,Run-Of-River,Store,Albania,48.2,,0.0,0.0,0.0,0.0,2012.0,2012.0,,,42.01168611,19.55194167,[nan],"{'JRC': ['H863'], 'GEO': ['GEO45871']}"
2346,Butgenbach butgenbach belgium butgenbach belgium,Hydro,Reservoir,Store,Belgium,1.77707006369426,,0.0,11.0,28.0,0.0,1932.0,1932.0,,,50.4359,6.2106,[nan],"{'JRC': ['H2227'], 'GEO': ['GEO42012']}"
2347,Castirla castirla,Hydro,Reservoir,Store,France,54.5,,0.0,25.5,74.0,0.0,1968.0,,,,42.38,9.134,[nan],"{'JRC': ['H797'], 'GEO': ['GEO39763']}"
2348,Castro castro spain,Hydro,Reservoir,Store,Spain,110.0,,0.0,27.0,55.0,0.0,1952.0,1974.0,,,41.575401,-6.1872,[nan],"{'JRC': ['H461'], 'GEO': ['GEO44133']}"
2349,Montelimar chateauneuf du rhone,Hydro,Run-Of-River,Store,France,270.0,,0.0,0.0,18.0,0.0,1957.0,,,,44.499001,4.708,[nan],"{'JRC': ['H165'], 'GEO': ['GEO39758']}"
2350,Dubnica dubnica nad vahom dubnica nad vahom,Hydro,Run-Of-River,Store,Slovakia,16.5,,0.0,0.0,0.0,0.0,1949.0,1949.0,,,48.963190000000004,18.1451,[nan],"{'JRC': ['H1487'], 'GEO': ['GEO42662']}"
2351,Jajce hidroelektrana herzegovin jajce hidroelektrana herzegovin,Hydro,Reservoir,Store,Bosnia and Herzegovina,30.0,,0.0,1.3,0.0,0.0,1954.0,2005.0,,,44.4279,17.2404,[nan],"{'JRC': ['H1141'], 'GEO': ['GEO44813']}"
2352,Eglisau eglisau eglisau,Hydro,Run-Of-River,Store,Switzerland,46.9,,0.0,0.0,0.0,0.0,1921.0,2011.0,,,47.5749161402,8.47332208664,[nan],"{'JRC': ['H883'], 'GEO': ['GEO45462']}"
2353,Glomfjord,Hydro,Reservoir,Store,Norway,20.0,,787.1,17.0,463.5,15742.0,1920.0,1942.0,,,66.796875,14.000939,[nan],"{'JRC': ['N295'], 'GEO': ['GEO45736']}"
2354,Gour noir le gour noir le,Hydro,Reservoir,Store,France,40.0,,0.0,5.2,43.0,0.0,1947.0,,,,45.071000000000005,2.0669999999999997,[nan],"{'JRC': ['H966'], 'GEO': ['GEO39747']}"
2355,Horná streda horna streda horna streda,Hydro,Run-Of-River,Store,Slovakia,25.5,,0.0,0.0,0.0,0.0,1954.0,1954.0,,,48.66046,17.85503,[nan],"{'JRC': ['H1238'], 'GEO': ['GEO42656']}"
2356,Hričov hricov hricov,Hydro,Run-Of-River,Store,Slovakia,31.5,,0.0,0.0,0.0,0.0,1962.0,1962.0,,,49.25737,18.68102,[nan],"{'JRC': ['H1114'], 'GEO': ['GEO42649']}"
2357,Ilava ilava ilava,Hydro,Run-Of-River,Store,Slovakia,15.0,,0.0,0.0,0.0,0.0,1946.0,1946.0,,,49.00567,18.234939999999998,[nan],"{'JRC': ['H1542'], 'GEO': ['GEO42661']}"
2358,Mostarsko blato mostarsko blato,Hydro,Reservoir,Store,Bosnia and Herzegovina,60.0,,0.0,0.96,0.0,0.0,2010.0,2010.0,,,43.2989,17.794,[nan],"{'JRC': ['H742'], 'GEO': ['GEO44809']}"
2359,Näs nas nas,Hydro,Reservoir,Store,Sweden,21.3471337579617,,0.0,0.0,0.0,0.0,1980.0,1980.0,,,60.1749285,16.476273000000003,[nan],"{'JRC': ['H1355'], 'GEO': ['GEO46256']}"
2360,Saint clair,Hydro,Run-Of-River,Store,Italy,31.0,,0.0,0.0,0.0,0.0,,,,,45.7425728,7.622148599999999,[nan],"{'JRC': ['H2487'], 'ENTSOE': ['26WIMPI-S02SCLRH']}"
2361,Frades,Hydro,Pumped Storage,Store,Portugal,976.0,,24.098360655737704,92.1,420.0,23520.0,,,,,41.6929435,-8.027884,"[nan, nan]","{'JRC': ['H250', 'H32'], 'ENTSOE': ['16WFRADES2-----8', '16WFRADES------T']}"
2362,Airole,Hydro,Run-Of-River,Store,Italy,8.8,,0.0,0.0,110.3,0.0,,,,,43.869813,7.549187,[nan],"{'JRC': ['H3304'], 'ENTSOE': ['26WIMPI-S07ARLIZ']}"
2363,Baixo sabor montante,Hydro,Pumped Storage,Store,Portugal,189.0,,17.98941798941799,630.0,123.0,3400.0,,,,,41.209099,-7.0489999999999995,[nan],"{'JRC': ['H286'], 'ENTSOE': ['16WBASBM-------8']}"
2364,Borgund,Hydro,Reservoir,Store,Norway,212.0,,741.0099056603776,74.7,874.0,157094.10000000006,,,,,61.061043999999995,7.822617,[nan],"{'JRC': ['N123'], 'ENTSOE': ['50WP000000000673']}"
2365,Caroso borzonasca,Hydro,Reservoir,Store,Italy,12.5,,0.0,0.22,433.8,0.0,,,,,44.42463,9.395171000000001,"[nan, nan]","{'JRC': ['H3302', 'H3303'], 'ENTSOE': ['26WIMPI-S07CRSBI']}"
2366,Emosson scheme,Hydro,Pumped Storage,Store,Switzerland,430.5,,0.0,227.0,180.0,0.0,,,,,46.0508221655,6.94899701138,[nan],"{'JRC': ['H94'], 'ENTSOE': ['12W-0000000060-F']}"
2367,Faubourg,Hydro,Run-Of-River,Store,Italy,10.6,,0.0,0.0,0.0,0.0,,,,,45.716877000000004,6.945111,[nan],"{'JRC': ['H2479'], 'ENTSOE': ['26WIMPI-S02FBRGG']}"
2368,Galleto nera tevere,Hydro,Run-Of-River,Store,Italy,461.0,,0.0,0.0,50.0,0.0,,,,,42.5641417,12.6405466,[nan],"{'JRC': ['H67'], 'ENTSOE': ['26WIMPI-S10GLLT5', '26WIMPIVELINO-1Q']}"
2369,Werfen pfarrwerfen werfen pfarrwerfen werfen pfarrwerfen,Hydro,Run-Of-River,Store,Austria,32.0,,0.0,0.0,0.0,0.0,2009.0,2009.0,,,47.472081,13.193148,[nan],"{'JRC': ['H1102'], 'GEO': ['GEO45575']}"
2370,Giacomo,Hydro,Reservoir,Store,Italy,10.0,,0.0,0.0,0.0,0.0,,,,,44.315526,7.298728,[nan],"{'JRC': ['H1750'], 'ENTSOE': ['26WIMPI-S03SGNCJ']}"
2371,Oschenik,Hydro,Pumped Storage,Store,Austria,81.0,,0.0,0.0,0.0,0.0,,,,,46.987999,13.106,[nan],"{'JRC': ['H608'], 'ENTSOE': ['14W-E110349----M']}"
2372,Lang sima,Hydro,Reservoir,Store,Norway,500.0,,1020.68,190.0,1065.0,510340.0,,,,,60.507420999999994,7.1407050000000005,[nan],"{'JRC': ['N99'], 'ENTSOE': ['50WP000000008783']}"
2373,Rusca,Hydro,Run-Of-River,Store,Italy,6.53,,0.0,0.0,0.0,0.0,,,,,45.529214,9.533849,[nan],"{'JRC': ['H3317'], 'ENTSOE': ['26WIMPI-S03UETNE']}"
2374,Pont st. martin,Hydro,Run-Of-River,Store,Italy,45.0,,0.0,0.0,0.0,0.0,,,,,45.595361,7.794513999999991,[nan],"{'JRC': ['H903'], 'ENTSOE': ['26WIMYI-S01PANTB', '26WIMPI-S02PNSME']}"
2375,Pont ventoux,Hydro,Pumped Storage,Store,Italy,150.0,,3.6,0.0,520.0,540.0,,,,,45.141299,6.962786,[nan],"{'JRC': ['H333'], 'ENTSOE': ['26WIMPI-S01PVNTQ']}"
2376,Aet leventina,Hydro,Reservoir,Store,Switzerland,44.0,,0.0,0.0,0.0,0.0,,,,,46.530998,8.685,[nan],"{'JRC': ['H919'], 'ENTSOE': ['12W-0000000064-3']}"
2377,Wallnerau unterwasser wallnerau unterwasser wallnerau unterwasser,Hydro,Run-Of-River,Store,Austria,3.3803682581089105,,0.0,0.0,0.0,0.0,1989.0,1989.0,,,47.315540000000006,13.140946,[nan],"{'JRC': ['H2093'], 'GEO': ['GEO45561']}"
2378,Neverdalsåga,Hydro,Reservoir,Store,Norway,2.1,,4516.571428571428,22.8,213.0,9484.8,1955.0,1955.0,,,66.822241,13.980626,[nan],"{'JRC': ['N545'], 'GEO': ['GEO45735']}"
2379,Ružín ruzin ruzin,Hydro,Pumped Storage,Store,Slovakia,61.8,,0.0,0.0,0.0,0.0,1972.0,1972.0,,,48.860479999999995,21.09436,[nan],"{'JRC': ['H722'], 'GEO': ['GEO42646']}"
2380,Nosice nosice nosice,Hydro,Run-Of-River,Store,Slovakia,67.5,,0.0,0.0,0.0,0.0,1957.0,1957.0,,,49.12745,18.36424,[nan],"{'JRC': ['H681'], 'GEO': ['GEO42642']}"
2381,Nové mesto nove mesto nove mesto,Hydro,Run-Of-River,Store,Slovakia,25.7,,0.0,0.0,0.0,0.0,1953.0,1953.0,,,48.77245,17.85146,[nan],"{'JRC': ['H1235'], 'GEO': ['GEO42655']}"
2382,Oo oo,Hydro,Reservoir,Store,France,30.0,,0.0,19.5,15.0,0.0,1921.0,,,,42.803999999999995,0.56,[nan],"{'JRC': ['H1127'], 'GEO': ['GEO39765']}"
2383,Orava orava orava,Hydro,Run-Of-River,Store,Slovakia,21.75,,0.0,0.0,0.0,0.0,1953.0,1953.0,,,49.37534,19.55849,[nan],"{'JRC': ['H1344'], 'GEO': ['GEO42652']}"
2384,Paradela paradela paradela,Hydro,Reservoir,Store,Portugal,54.0,,4120.37037037037,158.2,110.0,222500.0,1956.0,1956.0,,,41.7686,-7.9504,[nan],"{'JRC': ['H800'], 'GEO': ['GEO43546']}"
2385,Považská bystrica povazska bystrica povazska bystrica,Hydro,Run-Of-River,Store,Slovakia,55.2,,0.0,0.0,0.0,0.0,1964.0,1964.0,,,49.13312,18.45366,[nan],"{'JRC': ['H786'], 'GEO': ['GEO42644']}"
2386,Seyssel seyssel,Hydro,Reservoir,Store,France,45.0,,0.0,6.0,31.0,0.0,1951.0,,,,45.971000000000004,5.834,[nan],"{'JRC': ['H899'], 'GEO': ['GEO39697']}"
2387,Truel truel truel,Hydro,Run-Of-River,Store,France,18.2539885937881,,0.0,0.0,0.0,0.0,1958.0,,,,44.06,2.7689999999999904,[nan],"{'JRC': ['H1441'], 'GEO': ['GEO39724']}"
2388,Sučany sucany sucany,Hydro,Run-Of-River,Store,Slovakia,38.4,,0.0,0.0,0.0,0.0,1958.0,1958.0,,,49.106559999999995,18.99204,[nan],"{'JRC': ['H1003'], 'GEO': ['GEO42647']}"
2389,Taschinas,Hydro,Reservoir,Store,Switzerland,22.83,,0.0,0.025,0.0,0.0,2011.0,2011.0,,,46.9826556157,9.645309151654999,"[nan, nan]","{'JRC': ['H1694', 'H1691'], 'GEO': ['GEO46297']}"
2390,Tet tet,Hydro,Reservoir,Store,France,41.1,,0.0,17.5,25.0,0.0,1910.0,,,,42.553000000000004,2.267,[nan],"{'JRC': ['H954'], 'GEO': ['GEO39805']}"
