id,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateMothball,DateOut,lat,lon,EIC,projectID
2389,Storavan bergnäs krv,Hydro,Reservoir,Store,Sweden,8.0,,0.0,778.0,21.0,0.0,,,,,65.6833333,18.1666667,[nan],"{'JRC': ['H1873'], 'CARMA': ['CARMA4137']}"
2390,Birsfelden,Hydro,Run-Of-River,Store,Switzerland,100.0,,0.0,0.0,0.0,0.0,,,,,47.5598609367,7.626364605560001,[nan],"{'JRC': ['H522'], 'CARMA': ['CARMA4726']}"
2391,Bischofszell,Hydro,Run-Of-River,Store,Switzerland,1.02,,0.0,0.0,0.0,0.0,,,,,47.4930279409,9.23422119528999,[nan],"{'JRC': ['H2284'], 'CARMA': ['CARMA57117']}"
2392,Bisisthal,Hydro,Run-Of-River,Store,Switzerland,15.8,,0.0,0.0,0.0,0.0,,,,,46.946621684300005,8.82799774611,[nan],"{'JRC': ['H1524'], 'CARMA': ['CARMA40384']}"
2393,Bitburg,Hydro,Run-Of-River,Store,Germany,0.42,,0.0,0.0,0.0,0.0,,,,,50.010099,6.443189,[nan],"{'JRC': ['H2678'], 'CARMA': ['CARMA43110']}"
2394,Bitsch,Hydro,Reservoir,Store,Switzerland,340.0,,47.94117647058823,9.2,750.0,16300.0,,,,,46.333646172200005,8.0075990397,[nan],"{'JRC': ['H121'], 'CARMA': ['CARMA4775']}"
2395,Bittenbrunn,Hydro,Run-Of-River,Store,Germany,20.2,,0.0,0.0,0.0,0.0,,,,,48.734459,11.14382,[nan],"{'JRC': ['H1375'], 'CARMA': ['CARMA4777']}"
2396,Bergsbotn,Hydro,Reservoir,Store,Norway,7.9,,2753.0886075949365,25.8,354.1,21749.4,,,,,69.433207,17.483038,[nan],"{'JRC': ['N570'], 'CARMA': ['CARMA4138']}"
2397,Bergheim,Hydro,Run-Of-River,Store,Germany,23.7,,0.0,0.0,0.0,0.0,,,,,48.750807,11.273237,[nan],"{'JRC': ['H1304'], 'CARMA': ['CARMA4129']}"
2398,Bjerka,Hydro,Reservoir,Store,Norway,20.0,,6441.3,153.0,357.0,128826.0,,,,,66.06270699999999,13.997822,[nan],"{'JRC': ['N246'], 'CARMA': ['CARMA4799']}"
2399,Bavona,Hydro,Reservoir,Store,Switzerland,164.0,,0.0,159.0,877.0,0.0,,,,,46.401001,8.551,[nan],"{'JRC': ['H296'], 'CARMA': ['CARMA3617']}"
2400,Barzia hpp,Hydro,Reservoir,Store,Bulgaria,8.0,,0.0,0.03,251.0,0.0,,,,,43.19,23.166999999999998,[nan],"{'JRC': ['H1858'], 'CARMA': ['CARMA3455']}"
2401,Bascov,Hydro,Reservoir,Store,Romania,7.7,,0.0,0.0,0.0,0.0,,,,,44.896359999999994,24.847892,[nan],"{'JRC': ['H3347'], 'CARMA': ['CARMA3464']}"
2402,Bassalt,Hydro,Reservoir,Store,Sweden,8.0,,0.0,0.0,0.0,0.0,,,,,56.75,13.2833333,[nan],"{'JRC': ['H1862'], 'CARMA': ['CARMA3494']}"
2403,Bassecourt,Hydro,Run-Of-River,Store,Switzerland,1.27,,0.0,0.0,0.0,0.0,,,,,47.3310159289999,7.231977248710001,[nan],"{'JRC': ['H2263'], 'CARMA': ['CARMA60866']}"
2404,Batfors,Hydro,Reservoir,Store,Sweden,42.0,,0.0,0.0,0.0,0.0,,,,,64.832573,20.223732000000002,[nan],"{'JRC': ['H972'], 'CARMA': ['CARMA3548']}"
2405,Bätterkinden,Hydro,Run-Of-River,Store,Switzerland,0.4,,0.0,0.0,0.0,0.0,,,,,47.133003888299896,7.54407602098,[nan],"{'JRC': ['H2435'], 'CARMA': ['CARMA3575']}"
2406,Befring,Hydro,Reservoir,Store,Norway,4.5,,0.0,0.0,281.0,0.0,,,,,61.609102,6.635325999999999,[nan],"{'JRC': ['N537'], 'CARMA': ['CARMA57603']}"
2407,Bergerfoss,Hydro,Reservoir,Store,Norway,6.6,,1609.6363636363637,817.2,10.8,10623.6,,,,,60.227756,10.375688,"[nan, nan]","{'JRC': ['N407', 'N899'], 'CARMA': ['CARMA4126']}"
2408,Begna,Hydro,Reservoir,Store,Norway,5.6,,0.0,0.0,8.0,0.0,,,,,60.202558999999994,10.249582,[nan],"{'JRC': ['N404'], 'CARMA': ['CARMA3820']}"
2409,Belesar,Hydro,Reservoir,Store,Spain,246.0,,0.0,655.0,207.3,0.0,,,,,42.628752000000006,-7.7121,"[nan, nan]","{'JRC': ['H201', 'H1361'], 'CARMA': ['CARMA3892']}"
2410,Belver,Hydro,Run-Of-River,Store,Portugal,80.7,,0.0,0.0,0.0,0.0,,,,,39.28,-7.59,[nan],"{'JRC': ['H611'], 'CARMA': ['CARMA3998']}"
2411,Edison belviso,Hydro,Run-Of-River,Store,Italy,62.0,,0.0,0.0,0.0,0.0,,,,,46.160817,10.086202,[nan],"{'JRC': ['H3426'], 'CARMA': ['CARMA4000']}"
2412,Bembezar,Hydro,Reservoir,Store,Spain,15.0,,3533.3333333333335,342.0,56.9,53000.0,,,,,37.903,-5.207000000000001,[nan],"{'JRC': ['H1532'], 'CARMA': ['CARMA4001']}"
