projectID,best_match,compound_code,formatted_address,global_code,KeywordName,lat,lon,place_name,num_results,partial_match,place_id,PlantName,place_ok,return_pos,search_api_calls,search_method,search_status,search_text,search_time,sim_score,types,gm_lat,gm_lon,gm_url
11WD8REUW1C----4,True,G6PV+33 Berlin,"Großer Spreering 5, 13599 Berlin",9F4MG6PV+33,Reuter,,,Kraftwerk Reuter West,1,,ChIJCdBV9PFWqEcR1hr_tqpQTxU,Reuter West,True,1,1,places,OK,"Reuter West coal-fired power station, Germany",2/2/2021 17:11,0.4444444444444444,"['point_of_interest', 'establishment']",52.5351386,13.2426717,https://www.google.com/maps/place/?q=place_id:ChIJCdBV9PFWqEcR1hr_tqpQTxU
17W100P100P02780,True,,"08500 Revin, France",,Revin,49.941893,4.637199,Revin,1,,ChIJ0xrYrZriwUcRAGw_mrlfCgQ,Revin,True,1,2,places,OK,"Revin, France",2/2/2021 17:12,1.0,"['locality', 'political']",49.941893,4.637199,https://www.google.com/maps/place/?q=place_id:ChIJ0xrYrZriwUcRAGw_mrlfCgQ
34WEHR-BBASR---X,True,,"Bajina Basta, Serbia",,Rhe Bajina Basta,,,Bajina Basta,1,,ChIJi6tfBrO1WUcRdUnIoxiePkE,Rhe Bajina Basta,True,1,6,find_place,OK,"Bajina, Serbia",2/2/2021 17:12,0.8571428571428571,"['locality', 'political']",43.9705397,19.5649108,https://www.google.com/maps/place/?q=place_id:ChIJi6tfBrO1WUcRdUnIoxiePkE
11WD4KWRHF5-S--Z,True,HR92+5Q Rheinfelden,"Friedrichstraße 80, 79618 Rheinfelden (Baden)",8FV9HR92+5Q,Rheinfelden,,,RHEINFELDEN ALLOYS GmbH & Co. KG,7,,ChIJxaoJwqK0kUcRJXqfFPvRm-k,Rheinfelden De,True,4,1,places,OK,"Rheinfelden De hydroelectric dam, Germany",2/2/2021 17:12,0.55,"['point_of_interest', 'establishment']",47.5678929,7.8019556,https://www.google.com/maps/place/?q=place_id:ChIJxaoJwqK0kUcRJXqfFPvRm-k
11WD4DAXLA-S---T,True,2874+JH Karlsruhe,"Fettweisstraße 60, 76189 Karlsruhe",8FXC2874+JH,Rheinhafen Dampfkraftwerk Karlsruhe,,,EnBW Energie Baden-Württemberg AG,1,,ChIJp1VS0hABl0cR6tVB-HHPH4A,Rheinhafen Dampfkraftwerk Karlsruhe,True,1,1,places,OK,"Rheinhafen Dampfkraftwerk Karlsruhe coal-fired power station, Germany",2/2/2021 17:12,0.4705882352941176,"['point_of_interest', 'establishment']",49.014074,8.3063849,https://www.google.com/maps/place/?q=place_id:ChIJp1VS0hABl0cR6tVB-HHPH4A
11WD4DAXLA-2S--6,True,2874+JH Karlsruhe,"Fettweisstraße 60, 76189 Karlsruhe",8FXC2874+JH,Rheinhafen Dampfkraftwerk Karlsruhe,,,EnBW Energie Baden-Württemberg AG,1,,ChIJp1VS0hABl0cR6tVB-HHPH4A,Rheinhafen Dampfkraftwerk Karlsruhe,True,1,1,places,OK,"Rheinhafen Dampfkraftwerk Karlsruhe gas-fired power station, Germany",2/2/2021 17:12,0.4705882352941176,"['point_of_interest', 'establishment']",49.014074,8.3063849,https://www.google.com/maps/place/?q=place_id:ChIJp1VS0hABl0cR6tVB-HHPH4A
11WD4IFFE5G----Z,True,R4J6+XJ Iffezheim,"An der Staustufe 27, 76473 Iffezheim",8FWCR4J6+XJ,Rheinkraftwerk Iffezheim,,,"EnBW Energie Baden-Württemberg AG, Rheinkraftwerk Iffezheim",1,,ChIJRwbnDmThlkcRSMCd6BVtaY4,Rheinkraftwerk Iffezheim,True,1,1,places,OK,"Rheinkraftwerk Iffezheim hydroelectric dam, Germany",2/2/2021 17:12,0.5853658536585366,"['point_of_interest', 'establishment']",48.8324383,8.111501,https://www.google.com/maps/place/?q=place_id:ChIJRwbnDmThlkcRSMCd6BVtaY4
17W100P100P0304P,True,7MMG+PP Rhinau,"7 5, 67860 Assens",8FW97MMG+PP,Rhinau,48.318771000000005,7.704565999999999,Rhinau Hydroelectric Plant,5,,ChIJL1BYPDU4kUcRa0aJxklTc0k,Rhinau,True,1,1,places,OK,"Rhinau hydroelectric dam, France",2/2/2021 17:12,0.6666666666666666,"['point_of_interest', 'establishment']",48.284354,7.676814,https://www.google.com/maps/place/?q=place_id:ChIJL1BYPDU4kUcRa0aJxklTc0k
47W000000000161P,True,"9Q5P+PP Rhode, County Offaly","Coolcor, Rhode, Co. Offaly",9C5J9Q5P+PP,Rhode,,,Rhode Power Station,1,,ChIJCxtz32iXXUgRe0zO8v4NWsw,Rhode,True,1,1,places,OK,"Rhode electric power plant, Ireland",2/2/2021 17:12,1.0,"['point_of_interest', 'establishment']",53.3592646,-7.2131442,https://www.google.com/maps/place/?q=place_id:ChIJCxtz32iXXUgRe0zO8v4NWsw
16WRIBATE------E,True,,"Alverca do Ribatejo, Portugal",,Ribatejo,38.90220479999999,-9.0397427,Alverca do Ribatejo,1,,ChIJGzGSK8YoGQ0RQohH_vqDmyg,Ribatejo,True,1,2,places,OK,"Ribatejo, Portugal",2/2/2021 17:12,0.5925925925925926,"['locality', 'political']",38.9022048,-9.0397427,https://www.google.com/maps/place/?q=place_id:ChIJGzGSK8YoGQ0RQohH_vqDmyg
26WIMPI-0475318P,True,"PFC2+9W Rignano sull'Arno, Metropolitan City of Florence","50067 Rignano sull'Arno, Metropolitan City of Florence",8FMHPFC2+9W,Rignano,,,Rignano Sull'arno Reggello,18,,ChIJaUhCP5KuKxMR6_9bOSQk2zE,Rignano,True,1,1,places,OK,"Rignano power station, Italy",2/2/2021 17:12,0.42424242424242425,"['train_station', 'transit_station', 'point_of_interest', 'establishment']",43.720968,11.4523441,https://www.google.com/maps/place/?q=place_id:ChIJaUhCP5KuKxMR6_9bOSQk2zE
49W000000000056T,False,,"Mouth of the Rhine, Netherlands",,Rijnmond,51.90275450000001,4.4601625999999985,Mouth of the Rhine,1,,ChIJYRN6SJ00xEcRIrAFFxRCIE4,Rijnmond,False,1,4,places,BUST,"Rijnmond, Netherlands",2/2/2021 17:12,0.2307692307692308,"['colloquial_area', 'political']",51.873295,4.3866253,https://www.google.com/maps/place/?q=place_id:ChIJYRN6SJ00xEcRIrAFFxRCIE4
26WIMPI-S06VRLL4,TRUE,"QJQR+MM Zogno, Province of Bergamo, Italy","Via M. O. Antonio Locatelli, 133, 24019 Zogno BG, Italy",8FQFQJQR+MM,Rinaldi,,,Rinaldi Srl,1,,ChIJ88MpbO1VgUcRKVtPkDikLPg,Villa Rinaldi,True,1,2,places,BUST,"Rinaldi, Italy",2/2/2021 17:12,0.7777777779999999,"['point_of_interest', 'establishment']",45.7891359,9.6416961,https://www.google.com/maps/place/?q=place_id:ChIJ88MpbO1VgUcRKVtPkDikLPg
46WPU00000000105,True,7467+76 Skällåkra,"Ringhals Kärnkraftverk, 432 85 Väröbacka",9F9J7467+76,Ringhals,57.260718000000004,12.113006,Ringhals nuclear power plant,1,,ChIJI3MB9SjYT0YRQ74CMx4An-8,Ringhals,True,1,1,places,OK,"Ringhals nuclear plant, Sweden",2/2/2021 17:12,0.7272727272727273,"['point_of_interest', 'establishment']",57.260718,12.113006,https://www.google.com/maps/place/?q=place_id:ChIJI3MB9SjYT0YRQ74CMx4An-8
46WPU00000000121,True,7467+76 Skällåkra,"Ringhals Kärnkraftverk, 432 85 Väröbacka",9F9J7467+76,Ringhals,57.260718000000004,12.113006,Ringhals nuclear power plant,1,,ChIJI3MB9SjYT0YRQ74CMx4An-8,Ringhals,True,1,1,places,OK,"Ringhals nuclear plant, Sweden",2/2/2021 17:12,0.7272727272727273,"['point_of_interest', 'establishment']",57.260718,12.113006,https://www.google.com/maps/place/?q=place_id:ChIJI3MB9SjYT0YRQ74CMx4An-8
46WPU0000000014Y,True,7467+76 Skällåkra,"Ringhals Kärnkraftverk, 432 85 Väröbacka",9F9J7467+76,Ringhals,57.260718000000004,12.113006,Ringhals nuclear power plant,1,,ChIJI3MB9SjYT0YRQ74CMx4An-8,Ringhals,True,1,1,places,OK,"Ringhals nuclear plant, Sweden",2/2/2021 17:12,0.7272727272727273,"['point_of_interest', 'establishment']",57.260718,12.113006,https://www.google.com/maps/place/?q=place_id:ChIJI3MB9SjYT0YRQ74CMx4An-8
46WPU00000000113,True,7467+76 Skällåkra,"Ringhals Kärnkraftverk, 432 85 Väröbacka",9F9J7467+76,Ringhals,57.260718000000004,12.113006,Ringhals nuclear power plant,1,,ChIJI3MB9SjYT0YRQ74CMx4An-8,Ringhals,True,1,1,places,OK,"Ringhals nuclear plant, Sweden",2/2/2021 17:12,0.7272727272727273,"['point_of_interest', 'establishment']",57.260718,12.113006,https://www.google.com/maps/place/?q=place_id:ChIJI3MB9SjYT0YRQ74CMx4An-8
22WRINGVA000209C,True,,"Ringvaart, 9052 Ghent, Belgium",,Ringvaart Steg,,,Ringvaart,1,,ChIJgRw5kXBxw0cRR8SC7k4fgmY,Ringvaart Steg,True,1,5,find_place,OK,"Ringvaart, Belgium",2/2/2021 17:12,0.7826086956521741,"['natural_feature', 'establishment']",51.0158136,3.7106662,https://www.google.com/maps/place/?q=place_id:ChIJgRw5kXBxw0cRR8SC7k4fgmY
46WPU0000000026R,True,,"982 99 Ritsem, Sweden",,Ritsem,67.7225771,17.4683965,Ritsem,1,,ChIJvQDYf9Jw2UURpnf-NqFXnCE,Ritsem,True,1,2,places,OK,"Ritsem, Sweden",2/2/2021 17:12,1.0,"['locality', 'political']",67.7225771,17.4683965,https://www.google.com/maps/place/?q=place_id:ChIJvQDYf9Jw2UURpnf-NqFXnCE
