projectID,formatted_address,geometry,place_name,num_results,place_id,place_ok,search_api_calls,search_method,search_status,search_text,search_time,sim_score,types
26WIMPI-S01CEGN7,"12100 Cuneo, Province of Cuneo, Italy","{'location': {'lat': 44.3844766, 'lng': 7.5426711}, 'viewport': {'northeast': {'lat': 44.4309618, 'lng': 7.603918799999999}, 'southwest': {'lat': 44.3532038, 'lng': 7.508458699999999}}}",Cuneo,1,ChIJpziBxzhpzRIRR-YmF8trXRM,TRUE,6,find_place,OK,"Cuneo, Italy",1/29/2021 20:32,0.545454545,"['locality', 'political']"
26WIMPI-S05ESPRU,"Via Veneto, 1149, 35040 Casale di Scodosia PD, Italy","{'location': {'lat': 45.1877472, 'lng': 11.4952608}, 'viewport': {'northeast': {'lat': 45.18909547989271, 'lng': 11.49665527989272}, 'southwest': {'lat': 45.18639582010727, 'lng': 11.49395562010728}}}",Emmezeta Mobili Snc,1,ChIJWfcipuAbf0cRgPgBPsl84R0,TRUE,2,find_place,OK,"Emmezeta Rovigo, Italy",1/29/2021 20:32,0.647058824,"['point_of_interest', 'establishment']"
26WIMPI-S03FMGSC,"20142 Milan, Metropolitan City of Milan, Italy","{'location': {'lat': 45.4371411, 'lng': 9.1686693}, 'viewport': {'northeast': {'lat': 45.43847797989272, 'lng': 9.17003327989272}, 'southwest': {'lat': 45.43577832010727, 'lng': 9.167333620107277}}}",Famagosta,1,ChIJPx21DIzDhkcRyH71vojlAA8,TRUE,3,find_place,BUST,"Famagosta, Italy",1/29/2021 20:32,1,"['transit_station', 'point_of_interest', 'establishment']"
26WIMPI-S19SDMCS,"98044 San Filippo del Mela, Province of Messina, Italy","{'location': {'lat': 38.1691648, 'lng': 15.2742899}, 'viewport': {'northeast': {'lat': 38.1747808, 'lng': 15.278943}, 'southwest': {'lat': 38.16521150000001, 'lng': 15.2685538}}}",San Filippo del Mela,1,ChIJJ4u-sYwwFBMRjiqBpCF0Ew8,TRUE,2,find_place,OK,"Filippo Mela, Italy",1/29/2021 20:32,0.75,"['locality', 'political']"
18WUFMI-12345-0L,"Miño, A Coruña, Spain","{'location': {'lat': 43.3539624, 'lng': -8.1884949}, 'viewport': {'northeast': {'lat': 43.40093239999999, 'lng': -8.1320784}, 'southwest': {'lat': 43.3149098, 'lng': -8.2225174}}}",Miño,1,ChIJiSCc34dyLg0RYFPKc4L1BAQ,TRUE,5,find_place,OK,"Miño, Spain",1/29/2021 20:32,0.666666667,"['administrative_area_level_4', 'political']"
17W100P100P0211W,"82400 Golfech, France","{'location': {'lat': 44.10699169999999, 'lng': 0.8547429999999999}, 'viewport': {'northeast': {'lat': 44.10842747989272, 'lng': 0.8561855798927223}, 'southwest': {'lat': 44.10572782010728, 'lng': 0.8534859201072778}}}",Production Center for Nuclear Electricity Golfech,2,ChIJAQDQnW6_qxIRVjyzR08CLS8,TRUE,1,find_place,OK,"Golfech nuclear plant, France",1/29/2021 20:32,0.7,"['point_of_interest', 'establishment']"
14W-BGS-KW-----Q,"Greifenstein 232/1, 3422 Spillern, Austria","{'location': {'lat': 48.3554532, 'lng': 16.2426364}, 'viewport': {'northeast': {'lat': 48.35705487989272, 'lng': 16.24395287989272}, 'southwest': {'lat': 48.35435522010728, 'lng': 16.24125322010728}}}",Laufkraftwerk Greifenstein,1,ChIJZfmkUpkNbUcRUSPj2K6cPbc,TRUE,1,find_place,OK,"Greifenstein hydroelectric dam, Austria",1/29/2021 20:32,0.631578947,"['point_of_interest', 'establishment']"
50WP000000002293,Norway,"{'location': {'lat': 60.47202399999999, 'lng': 8.468945999999999}, 'viewport': {'northeast': {'lat': 71.30780000000001, 'lng': 31.3549999}, 'southwest': {'lat': 57.8097, 'lng': 4.0649}}}",Norway,30,ChIJv-VNj0VoEkYRK9BkuJ07sKE,FALSE,4,find_place,BUST,"Kraftver, Norway",1/29/2021 20:32,0.272727273,"['country', 'political']"
26WIMPI-S19GCDLR,"Contrada Kaggiotto, Piana degli Albanesi, SP102, 90037 Piana degli albanesi PA, Italy","{'location': {'lat': 37.9555426, 'lng': 13.2792628}, 'viewport': {'northeast': {'lat': 37.95683322989272, 'lng': 13.28038377989272}, 'southwest': {'lat': 37.95413357010728, 'lng': 13.27768412010728}}}",Centrale ENEL di Guadalami,3,ChIJB_TtSZf2GRMR5L5BGan9XVY,TRUE,2,find_place,OK,"Guadalami, Italy",1/29/2021 20:32,0.514285714,"['point_of_interest', 'establishment']"
50WP00000000278R,"3576 Hol, Norway","{'location': {'lat': 60.6144518, 'lng': 8.31421}, 'viewport': {'northeast': {'lat': 60.61584272989271, 'lng': 8.315408829892721}, 'southwest': {'lat': 60.61314307010727, 'lng': 8.312709170107278}}}",Hol III power station,1,ChIJVVVVVaW-P0YR5Cg3a7HWh-8,TRUE,1,find_place,OK,"Hol hydroelectric dam, Norway",1/29/2021 20:32,0.545454545,"['point_of_interest', 'establishment']"
46WPU0000000105V,"841 44 Alby, Sweden","{'location': {'lat': 62.4986033, 'lng': 15.4844517}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 62.5037553, 'lng': 15.5004591}, 'southwest': {'lat': 62.4934504, 'lng': 15.4684443}}}",,2,ChIJEQKdywOPZUYRNxezuaEPiFs,FALSE,4,geocode,BUST,"Järnvägsforsen, Sweden",1/29/2021 20:32,0,"['locality', 'political']"
47W000000000242P,"Knockmore, Co. Mayo, Ireland","{'location': {'lat': 54.0237627, 'lng': -9.1747251}, 'viewport': {'northeast': {'lat': 54.0303169, 'lng': -9.1587177}, 'southwest': {'lat': 54.0172074, 'lng': -9.1907325}}}",Knockmore,1,ChIJgXVGJ0FGWUgREA0yl6nHAAo,TRUE,5,find_place,OK,"Knockmore, Ireland",1/29/2021 20:32,0.818181818,"['locality', 'political']"
14W-KW-KO2-EVN-5,"Am Kraftwerk 15, 2103 Langenzersdorf, Austria","{'location': {'lat': 48.3320296, 'lng': 16.3395997}, 'viewport': {'northeast': {'lat': 48.33352797989272, 'lng': 16.34077687989272}, 'southwest': {'lat': 48.33082832010728, 'lng': 16.33807722010727}}}",Korneuburg power plant,1,ChIJZ_OoZrQPbUcRCJR5yieihIo,TRUE,1,find_place,OK,"Kraftwerk Korneuburg gas-fired power station, Austria",1/29/2021 20:32,0.769230769,"['point_of_interest', 'establishment']"
26WIMPI-S03CLTCO,"Via Alfonso la Marmora, 39, 50121 Firenze FI, Italy","{'location': {'lat': 43.7814748, 'lng': 11.2621014}, 'viewport': {'northeast': {'lat': 43.78280902989272, 'lng': 11.26348962989272}, 'southwest': {'lat': 43.78010937010728, 'lng': 11.26078997010728}}}",B&B La Marmora 39,1,ChIJEYNjjBlUKhMRoZ4Dt0KIAzU,TRUE,3,find_place,BUST,"Lamarmora, Italy",1/29/2021 20:32,0.692307692,"['lodging', 'point_of_interest', 'establishment']"
50WP00000000480W,"Skogstøstraen 37, 4029 Stavanger, Norway","{'location': {'lat': 58.99407540000001, 'lng': 5.6912793}, 'viewport': {'northeast': {'lat': 58.99538237989273, 'lng': 5.692508929892721}, 'southwest': {'lat': 58.99268272010729, 'lng': 5.689809270107277}}}",Stril Power AS,1,ChIJkbnHGFu1O0YRFNp-3wpRZgk,FALSE,3,find_place,BUST,"Myster, Norway",1/29/2021 20:32,0.428571429,"['point_of_interest', 'establishment']"
50WP00000000494L,"Nea River, Selbu Municipality, Norway","{'location': {'lat': 63.1731151, 'lng': 11.2073295}, 'viewport': {'northeast': {'lat': 63.2265623, 'lng': 11.3918748}, 'southwest': {'lat': 63.0970208, 'lng': 10.9881478}}}",Nea River,1,ChIJ9fxqf4QBbUYRgxu-COY1whU,TRUE,2,find_place,OK,"Nea, Norway",1/29/2021 20:32,0.5,"['natural_feature', 'establishment']"
14W-E110349----M,"Grosser Oschenik See, 9831, Austria","{'location': {'lat': 46.9812289, 'lng': 13.0903527}, 'viewport': {'northeast': {'lat': 46.9859252, 'lng': 13.0949807}, 'southwest': {'lat': 46.9789295, 'lng': 13.0823083}}}",Grosser Oschenik See,1,ChIJm52feVJId0cRHd4JyL_RsWE,TRUE,2,find_place,OK,"Oschenik, Austria",1/29/2021 20:32,0.571428571,"['natural_feature', 'establishment']"
14W-BOW-KW-----9,"4073 Wilhering, Austria","{'location': {'lat': 48.3237098, 'lng': 14.1883431}, 'viewport': {'northeast': {'lat': 48.3299931, 'lng': 14.1998081}, 'southwest': {'lat': 48.320131, 'lng': 14.1733713}}}",Wilhering,1,ChIJKRjnaXiac0cRQfTf4x74D6k,TRUE,2,find_place,OK,"Ottensheim Wilhering, Austria",1/29/2021 20:32,0.620689655,"['locality', 'political']"
