projectID,best_match,compound_code,formatted_address,global_code,lat,lon,place_name,num_results,partial_match,place_id,PlantName,place_ok,return_pos,search_api_calls,search_method,search_status,search_text,search_time,sim_score,types,gm_lat,gm_lon,gm_url
26WIMPI-S19APGPP,,,"Nice, France",,,,Nice,1,,ChIJMS2FahDQzRIRcJqX_aUZCAQ,,True,,4,find_place,BUST,"Nuce, Italy",1/29/2021 17:47,0.6315789470000001,"['locality', 'political']",43.7101728,7.2619532,https://www.google.com/maps/place/?q=place_id:ChIJMS2FahDQzRIRcJqX_aUZCAQ
14WLSG-1SUED---5,,,"Lunzerstraße 90, 4030 Linz, Austria",,,,Fernheizkraftwerk Linz-Süd,1,,ChIJnfYNgwy9c0cR0qd9RslGeNY,,True,,1,find_place,OK,"Fhkw Linz Süd gas-fired power station, Austria",1/29/2021 17:47,0.514285714,"['point_of_interest', 'establishment']",48.267835,14.3468105,https://www.google.com/maps/place/?q=place_id:ChIJnfYNgwy9c0cR0qd9RslGeNY
26WIMPI-S20F1LMN,,,"Flumendosa, South Sardinia, Italy",,,,Flumendosa,1,,ChIJNae1SduZ4BIRKp4R1P3MmSA,,True,,2,find_place,OK,"Flumendosa, Italy",1/29/2021 17:48,1.0,"['natural_feature', 'establishment']",39.4779846,9.5236902,https://www.google.com/maps/place/?q=place_id:ChIJNae1SduZ4BIRKp4R1P3MmSA
26WIMPI-0092784R,,,"Via Vulcano, 47, 05100 Terni TR, Italy",,,,,1,,ChIJTVhOqaX7LhMR4lMqYFs5Pis,,False,,5,geocode,BUST,"Enersol, Italy",1/29/2021 17:48,0.326530612,"['electrician', 'establishment', 'general_contractor', 'point_of_interest']",42.5741069,12.6757402,
11WD2GHKW000296G,,,"31860 Emmerthal, Germany",,,,Grohnde Nuclear Power Plant,1,,ChIJW1QhRXmSukcRQLlHDnF8WLI,,True,,1,find_place,OK,"Grohnde nuclear plant, Germany",1/29/2021 17:48,0.5,"['point_of_interest', 'establishment']",52.0345525,9.4107749,https://www.google.com/maps/place/?q=place_id:ChIJW1QhRXmSukcRQLlHDnF8WLI
11WD2HERR5GKW--1,,,"Leinhäuser Weg 1A, 30419 Hannover, Germany",,,,Kraftwerk Herrenhausen,1,,ChIJtY23no5zsEcRwaheIQT_l5c,,True,,2,find_place,OK,"Herrenhausen Kwh, Germany",1/29/2021 17:48,0.6315789470000001,"['point_of_interest', 'establishment']",52.3980484,9.678791,https://www.google.com/maps/place/?q=place_id:ChIJtY23no5zsEcRwaheIQT_l5c
11WD8SCHW5X----D,,,"06682 Teuchern, Germany",,,,Industriekraftwerk Deuben,30,,ChIJGRLMHBDrpkcR6MupkmvNXSI,,True,,4,find_place,OK,"Industriekraftwerk, Germany",1/29/2021 17:48,0.808510638,"['point_of_interest', 'establishment']",51.1117624,12.0765264,https://www.google.com/maps/place/?q=place_id:ChIJGRLMHBDrpkcR6MupkmvNXSI
46WPU0000000019O,,,"Järpströmmen, 830 05 Järpen, Sweden",,,,Järpströmmen,1,,ChIJAcYYzqYTbkYRrs2K2OexC5g,,True,,2,find_place,OK,"Järpströmmen, Sweden",1/29/2021 17:48,1.0,"['natural_feature', 'establishment']",63.3718361,13.428207,https://www.google.com/maps/place/?q=place_id:ChIJAcYYzqYTbkYRrs2K2OexC5g
26WIMPIALENCO-1B,,,"Via Palù, 570, 23020 Lanzada SO, Italy",,,,Centrale di Lanzada,1,,ChIJ4xaAzBGFg0cRkdFvh4BTCHE,,True,,1,find_place,OK,"Lanzada hydroelectric dam, Italy",1/29/2021 17:48,0.538461538,"['point_of_interest', 'establishment']",46.2685125,9.8760525,https://www.google.com/maps/place/?q=place_id:ChIJ4xaAzBGFg0cRkdFvh4BTCHE
17W100P100P0229D,,,"41220 Saint-Laurent-Nouan, France",,,,Centrale Nucléaire de Saint-Laurent-Nouan,1,,ChIJaSICxUq95EcRwQr3o4DEhVA,,True,,1,find_place,OK,"St Laurent nuclear plant, France",1/29/2021 17:48,0.4375,"['point_of_interest', 'establishment']",47.7198136,1.577853,https://www.google.com/maps/place/?q=place_id:ChIJaSICxUq95EcRwQr3o4DEhVA
11WD7LUDW5GSUEDE,,,"Ludwigshafen, Germany",,,,Ludwigshafen,1,,ChIJY4Hac2nMl0cRwhx3V3rcjjk,,True,,2,find_place,OK,"Ludwigshafen, Germany",1/29/2021 17:48,1.0,"['locality', 'political']",49.47741,8.44518,https://www.google.com/maps/place/?q=place_id:ChIJY4Hac2nMl0cRwhx3V3rcjjk
26WIMPI-S05MLNOU,,,"38078 Moline, Trentino, Italy",,,,Moline,1,,ChIJwYZwLU9pgkcRDaIwQ8lUhcA,,True,,2,find_place,OK,"Moline, Italy",1/29/2021 17:48,1.0,"['locality', 'political']",46.0841907,10.9241991,https://www.google.com/maps/place/?q=place_id:ChIJwYZwLU9pgkcRDaIwQ8lUhcA
11WD7NIED-B-KW-5,,,"Niederaußem, 50129 Bergheim, Germany",,,,Niederaußem,1,,ChIJJ16u9eFHv0cRUOfr4f5gJwo,,True,,2,find_place,OK,"Niederaussem, Germany",1/29/2021 17:48,0.869565217,"['sublocality_level_1', 'sublocality', 'political']",50.9866606,6.6697881,https://www.google.com/maps/place/?q=place_id:ChIJJ16u9eFHv0cRUOfr4f5gJwo
26WIMPIOVESCA-1G,,,"28841 Rovesca, Province of Verbano-Cusio-Ossola, Italy",,,,Rovesca,1,,ChIJqTnTVZZXj0cRUDqz1n_mBQo,,True,,2,find_place,OK,"Rovesca, Italy",1/29/2021 17:48,1.0,"['locality', 'political']",46.0567012,8.1237738,https://www.google.com/maps/place/?q=place_id:ChIJqTnTVZZXj0cRUDqz1n_mBQo
26WIMPI-S08SLSM8,True,,"29024 Salsominore, Province of Piacenza, Italy",,44.81831210000001,9.982512300000002,Salsominore,1,,ChIJNSn2zLWngEcRu4NiqAtvCaw,Salsominore,True,1,2,places,OK,"Salsominore, Italy",2021-02-02 12:09:55,1.0,"['locality', 'political']",44.6478831,9.4018239,https://www.google.com/maps/place/?q=place_id:ChIJNSn2zLWngEcRu4NiqAtvCaw
26WIMPI-01417304,,,"Via Eremo delle Carceri, 24, 06081 Assisi PG, Italy",,,,Ristorante La Stalla,1,,ChIJhdzRLMuCLhMRsAKujtqv0kY,,False,,3,find_place,BUST,"Stalla, Italy",1/29/2021 17:48,0.46153846200000004,"['restaurant', 'food', 'point_of_interest', 'establishment']",43.0656998,12.6307364,https://www.google.com/maps/place/?q=place_id:ChIJhdzRLMuCLhMRsAKujtqv0kY
26WIMPI-S03ATSMM,,,"Via Malta, 25/R, 25124 Brescia BS, Italy",,,,A2A Termovalorizzatore Brescia,1,,ChIJJb7Z-sJ1gUcRY0NvrhfV_Bc,,True,,2,find_place,OK,"Termoutilizzatore, Italy",1/29/2021 17:48,0.595744681,"['point_of_interest', 'establishment']",45.512974,10.2086292,https://www.google.com/maps/place/?q=place_id:ChIJJb7Z-sJ1gUcRY0NvrhfV_Bc
46WPU0000000027P,,,"982 99 Gällivare, Sweden",,,,Vietas powerhouse,1,,ChIJOXCynlOV2UUR5QQC86ri56A,,True,,1,find_place,OK,"Vietas hydroelectric dam, Sweden",1/29/2021 17:48,0.52173913,"['point_of_interest', 'establishment']",67.4930546,18.3576714,https://www.google.com/maps/place/?q=place_id:ChIJOXCynlOV2UUR5QQC86ri56A
48WSTN0000WBURB5,,,"First St SE, Washington, DC 20004, United States",,,,United States Capitol,1,,ChIJF8-iISm4t4kRxPgMwfejggQ,,False,,3,find_place,BUST,"Wburb, United Kingdom",1/29/2021 17:48,0.08,"['tourist_attraction', 'point_of_interest', 'establishment']",38.8899389,-77.0090505,https://www.google.com/maps/place/?q=place_id:ChIJF8-iISm4t4kRxPgMwfejggQ
11WD7WEIS-B-KW-C,,,"Am Kraftwerk 17, 52249 Eschweiler, Germany",,,,RWE Kraftwerk Weisweiler,1,,ChIJeTXoGKJgv0cRHM-Fe1YF7ag,,True,,1,find_place,OK,"Weisweiler coal-fired power station, Germany",1/29/2021 17:48,0.588235294,"['point_of_interest', 'establishment']",50.836044,6.317466,https://www.google.com/maps/place/?q=place_id:ChIJeTXoGKJgv0cRHM-Fe1YF7ag
11WD8WILM5O----7,,,"Forckenbeckstraße 3-5, 14199 Berlin, Germany",,,,Power station Berlin-Wilmersdorf,1,,ChIJH970tJFQqEcRJPMpXnf7NXY,,True,,1,find_place,OK,"Wilmersdorf power station, Germany",1/29/2021 17:48,0.594594595,"['point_of_interest', 'establishment']",52.4807551,13.3075485,https://www.google.com/maps/place/?q=place_id:ChIJH970tJFQqEcRJPMpXnf7NXY
26WIMPI-S17AGRIH,,,"Agri, Province of Matera, Italy",,,,Agri,1,,ChIJH_KLqX1aRxMRv9-X-LG8KC4,,True,,2,find_place,OK,"Agri, Italy",1/29/2021 18:18,1.0,"['natural_feature', 'establishment']",40.2522196,16.6025864,https://www.google.com/maps/place/?q=place_id:ChIJH_KLqX1aRxMRv9-X-LG8KC4
50WP00000000863G,,,"4420 Åna-Sira, Norway",,,,Åna-Sira,1,,ChIJ_ffkBYzjOUYRBvxtL--dmgs,,True,,2,find_place,OK,"Ana Sira, Norway",1/29/2021 18:18,0.875,"['locality', 'political']",58.2924889,6.4402611,https://www.google.com/maps/place/?q=place_id:ChIJ_ffkBYzjOUYRBvxtL--dmgs
47W000000000230W,,,"Ballykeelaun, Ardnacrusha, Co. Clare, Ireland",,,,Ardnacrusha Hydro Station,1,,ChIJbebtZMRdW0gRmW--I8zbqFY,,True,,1,find_place,OK,"Ardnacrucha Production Unit hydroelectric dam, Ireland",1/29/2021 18:18,0.7142857140000001,"['point_of_interest', 'establishment']",52.7055305,-8.6123452,https://www.google.com/maps/place/?q=place_id:ChIJbebtZMRdW0gRmW--I8zbqFY
26WIMPI-0760710Z,,,"20097 Bolgiano, Metropolitan City of Milan, Italy",,,,Bolgiano,1,,ChIJI_SijnLPhkcRbIroYgVsVwg,,True,,2,find_place,OK,"Bolgiano, Italy",1/29/2021 18:18,1.0,"['locality', 'political']",45.4210177,9.2836611,https://www.google.com/maps/place/?q=place_id:ChIJI_SijnLPhkcRbIroYgVsVwg
11WD2BUSC0002637,,,"Am Kraftwerk 1, 38372 Büddenstedt, Germany",,,,Buschhaus Power Station,1,,ChIJfVLbw2x-pUcRAkEfx41NZd8,,True,,1,find_place,OK,"Kraftwerk Buschhaus coal-fired power station, Germany",1/29/2021 18:18,0.692307692,"['point_of_interest', 'establishment']",52.1708616,10.9764261,https://www.google.com/maps/place/?q=place_id:ChIJfVLbw2x-pUcRAkEfx41NZd8
26WIMPI-S07CERNC,,,"17014 Cairo Montenotte, Province of Savona, Italy",,,,Cairo Montenotte,1,,ChIJA3QJT4LC0hIR0R-FFUPMWoM,,True,,2,find_place,OK,"Cairo, Italy",1/29/2021 18:18,0.47619047600000003,"['administrative_area_level_3', 'political']",44.4008071,8.2732695,https://www.google.com/maps/place/?q=place_id:ChIJA3QJT4LC0hIR0R-FFUPMWoM
26WIMPI-0393807F,,,"71029 Troia, Apulia, Province of Foggia, Italy",,,,Chiesa di Cancarro,1,,ChIJnW-mLa_vORMR66CaI_Rj01k,,True,,2,find_place,OK,"Cancarro, Italy",1/29/2021 18:18,0.615384615,"['point_of_interest', 'establishment']",41.3402776,15.2602387,https://www.google.com/maps/place/?q=place_id:ChIJnW-mLa_vORMR66CaI_Rj01k
26WIMPI-S04CRDA9,,,"21010 Cardano Al Campo, VA, Italy",,,,Cardano Al Campo,1,,ChIJqT2IwQNihkcRQPb-ZsamqPQ,,True,,2,find_place,OK,"Cardano, Italy",1/29/2021 18:18,0.608695652,"['locality', 'political']",45.6455568,8.7716745,https://www.google.com/maps/place/?q=place_id:ChIJqT2IwQNihkcRQPb-ZsamqPQ
26WIMPI-S09CSTVX,,,"38050 Castelnuovo, Trentino, Trentino, Italy",,,,"Castelnuovo, Trentino",1,,ChIJbeeuP56ReEcRq-zrElB0E5Q,,True,,2,find_place,OK,"Castelnuovo, Italy",1/29/2021 18:18,0.709677419,"['locality', 'political']",46.0519097,11.4941326,https://www.google.com/maps/place/?q=place_id:ChIJbeeuP56ReEcRq-zrElB0E5Q
26WIMPI-S03CDGL3,,,"25051 Cedegolo, Province of Brescia, Italy",,,,Cedegolo,1,,ChIJHWXmHNq1g0cR3KA9aRvUxrY,,True,,2,find_place,OK,"Cedegolo, Italy",1/29/2021 18:18,1.0,"['locality', 'political']",46.0770081,10.3488161,https://www.google.com/maps/place/?q=place_id:ChIJHWXmHNq1g0cR3KA9aRvUxrY
14W-PROD-DO----O,,,"Donaustadt, 1220 Vienna, Austria",,,,Donaustadt,1,,ChIJLYQ3pdcGbUcRp9qGuYOhKpE,,True,,2,find_place,OK,"Donaustadt, Austria",1/29/2021 18:18,1.0,"['sublocality_level_1', 'sublocality', 'political']",48.235551,16.4623916,https://www.google.com/maps/place/?q=place_id:ChIJLYQ3pdcGbUcRp9qGuYOhKpE
