projectID,formatted_address,geometry,name,num_results,place_id,place_ok,search_api_calls,search_method,search_status,search_text,search_time,sim_score,types
11WD7NIED-B-KW-5,"Niederaußem, 50129 Bergheim, Germany","{'location': {'lat': 50.9866606, 'lng': 6.6697881}, 'viewport': {'northeast': {'lat': 51.0009739, 'lng': 6.6882509}, 'southwest': {'lat': 50.9761822, 'lng': 6.6533272}}}",Niederaußem,1,ChIJJ16u9eFHv0cRUOfr4f5gJwo,True,2,find_place,OK,"Niederaussem, Germany",1/29/2021 17:48,0.8695652173913043,"['sublocality_level_1', 'sublocality', 'political']"
26WIMPIOVESCA-1G,"28841 Rovesca, Province of Verbano-Cusio-Ossola, Italy","{'location': {'lat': 46.0567012, 'lng': 8.1237738}, 'viewport': {'northeast': {'lat': 46.05819282989272, 'lng': 8.125155379892721}, 'southwest': {'lat': 46.05549317010728, 'lng': 8.122455720107277}}}",Rovesca,1,ChIJqTnTVZZXj0cRUDqz1n_mBQo,True,2,find_place,OK,"Rovesca, Italy",1/29/2021 17:48,1.0,"['locality', 'political']"
26WIMPI-S08SLSM8,"29024 Salsominore, Province of Piacenza, Italy","{'location': {'lat': 44.6478831, 'lng': 9.4018239}, 'viewport': {'northeast': {'lat': 44.6478839, 'lng': 9.404857}, 'southwest': {'lat': 44.644363, 'lng': 9.4012976}}}",Salsominore,1,ChIJNSn2zLWngEcRu4NiqAtvCaw,True,2,find_place,OK,"Salsominore, Italy",1/29/2021 17:48,1.0,"['locality', 'political']"
26WIMPI-01417304,"Via Eremo delle Carceri, 24, 06081 Assisi PG, Italy","{'location': {'lat': 43.0656998, 'lng': 12.6307364}, 'viewport': {'northeast': {'lat': 43.06711262989272, 'lng': 12.63195732989272}, 'southwest': {'lat': 43.06441297010728, 'lng': 12.62925767010728}}}",Ristorante La Stalla,1,ChIJhdzRLMuCLhMRsAKujtqv0kY,False,3,find_place,BUST,"Stalla, Italy",1/29/2021 17:48,0.46153846200000004,"['restaurant', 'food', 'point_of_interest', 'establishment']"
26WIMPI-S03ATSMM,"Via Malta, 25/R, 25124 Brescia BS, Italy","{'location': {'lat': 45.51297400000001, 'lng': 10.2086292}, 'viewport': {'northeast': {'lat': 45.51433842989272, 'lng': 10.21001707989272}, 'southwest': {'lat': 45.51163877010728, 'lng': 10.20731742010728}}}",A2A Termovalorizzatore Brescia,1,ChIJJb7Z-sJ1gUcRY0NvrhfV_Bc,True,2,find_place,OK,"Termoutilizzatore, Italy",1/29/2021 17:48,0.595744681,"['point_of_interest', 'establishment']"
46WPU0000000027P,"982 99 Gällivare, Sweden","{'location': {'lat': 67.4930546, 'lng': 18.3576714}, 'viewport': {'northeast': {'lat': 67.49436472989272, 'lng': 18.35909182989272}, 'southwest': {'lat': 67.49166507010729, 'lng': 18.35639217010728}}}",Vietas powerhouse,1,ChIJOXCynlOV2UUR5QQC86ri56A,True,1,find_place,OK,"Vietas hydroelectric dam, Sweden",1/29/2021 17:48,0.52173913,"['point_of_interest', 'establishment']"
48WSTN0000WBURB5,"First St SE, Washington, DC 20004, United States","{'location': {'lat': 38.8899389, 'lng': -77.0090505}, 'viewport': {'northeast': {'lat': 38.89121122989272, 'lng': -77.00277249999999}, 'southwest': {'lat': 38.88851157010728, 'lng': -77.0157461}}}",United States Capitol,1,ChIJF8-iISm4t4kRxPgMwfejggQ,False,3,find_place,BUST,"Wburb, United Kingdom",1/29/2021 17:48,0.08,"['tourist_attraction', 'point_of_interest', 'establishment']"
11WD7WEIS-B-KW-C,"Am Kraftwerk 17, 52249 Eschweiler, Germany","{'location': {'lat': 50.836044, 'lng': 6.317466}, 'viewport': {'northeast': {'lat': 50.83748787989271, 'lng': 6.318790479892723}, 'southwest': {'lat': 50.83478822010727, 'lng': 6.316090820107279}}}",RWE Kraftwerk Weisweiler,1,ChIJeTXoGKJgv0cRHM-Fe1YF7ag,True,1,find_place,OK,"Weisweiler coal-fired power station, Germany",1/29/2021 17:48,0.588235294,"['point_of_interest', 'establishment']"
11WD8WILM5O----7,"Forckenbeckstraße 3-5, 14199 Berlin, Germany","{'location': {'lat': 52.4807551, 'lng': 13.3075485}, 'viewport': {'northeast': {'lat': 52.48150517989272, 'lng': 13.30865262989272}, 'southwest': {'lat': 52.47880552010728, 'lng': 13.30595297010728}}}",Power station Berlin-Wilmersdorf,1,ChIJH970tJFQqEcRJPMpXnf7NXY,True,1,find_place,OK,"Wilmersdorf power station, Germany",1/29/2021 17:48,0.594594595,"['point_of_interest', 'establishment']"
26WIMPI-S17AGRIH,"Agri, Province of Matera, Italy","{'location': {'lat': 40.2522196, 'lng': 16.6025864}, 'viewport': {'northeast': {'lat': 40.3008034, 'lng': 16.7411559}, 'southwest': {'lat': 40.21465999999999, 'lng': 16.4634096}}}",Agri,1,ChIJH_KLqX1aRxMRv9-X-LG8KC4,True,2,find_place,OK,"Agri, Italy",1/29/2021 18:18,1.0,"['natural_feature', 'establishment']"
50WP00000000863G,"4420 Åna-Sira, Norway","{'location': {'lat': 58.2924889, 'lng': 6.440261100000001}, 'viewport': {'northeast': {'lat': 58.2983529, 'lng': 6.456268499999999}, 'southwest': {'lat': 58.286624, 'lng': 6.4242537}}}",Åna-Sira,1,ChIJ_ffkBYzjOUYRBvxtL--dmgs,True,2,find_place,OK,"Ana Sira, Norway",1/29/2021 18:18,0.875,"['locality', 'political']"
