set_key,dataset,gt_set,mod_time,truth_status,names
29WAISKARDIAI--I | 29WAISKARDIAII-Z | 29WAISKARDIAIIIY | 29WAISKARDIAIV-X,ENTSOE,"{'29WAISKARDIAIIIY', '29WAISKARDIAIV-X', '29WAISKARDIAII-Z', '29WAISKARDIAI--I'}",1/12/2021 10:46,P,
29WAISLAVRIO-IVM | 29WAISLAVRIO-V-A,ENTSOE,"{'29WAISLAVRIO-IVM', '29WAISLAVRIO-V-A'}",1/12/2021 10:46,P,
29WAISMEGAL-IIID | 29WAISMEGAL-IV-C,ENTSOE,"{'29WAISMEGAL-IV-C', '29WAISMEGAL-IIID'}",1/12/2021 10:46,P,
29WHERON-CC----5 | 29WHERONTHE---ID | 29WHERONTHE--IIU | 29WHERONTHE-IIIS,ENTSOE,"{'29WHERONTHE--IIU', '29WHERONTHE---ID', '29WHERON-CC----5', '29WHERONTHE-IIIS'}",1/12/2021 10:46,P,
29WTHESAVROS1--2 | 29WTHESAVROS2--Z | 29WTHESAVROS3--V,ENTSOE,"{'29WTHESAVROS3--V', '29WTHESAVROS2--Z', '29WTHESAVROS1--2'}",1/12/2021 10:46,P,
29WYISPOURNARI-P | 29WYISPOURNARIIO,ENTSOE,"{'29WYISPOURNARIIO', '29WYISPOURNARI-P'}",1/12/2021 10:46,P,
30W-CET-BRAZ---Q | 30W-CET-PETROM-L,ENTSOE,"{'30W-CET-PETROM-L', '30W-CET-BRAZ---Q'}",1/12/2021 10:46,P,
30W-CHE-PDF1---A | 30W-CHE-PDF2---5,ENTSOE,"{'30W-CHE-PDF1---A', '30W-CHE-PDF2---5'}",1/12/2021 10:46,P,
32W001100100063E | 32W001100100153D | 32W001100100294W,ENTSOE,"{'32W001100100063E', '32W001100100153D', '32W001100100294W'}",1/12/2021 10:46,P,
38W-MT--AREJ---M | 38W-MT--AREJ2--A,ENTSOE,"{'38W-MT--AREJ---M', '38W-MT--AREJ2--A'}",1/12/2021 10:46,P,
43W-RTEC-1-----T | 43W-RTEC-2-1---C | 43W-RTEC-2-2---7,ENTSOE,"{'43W-RTEC-1-----T', '43W-RTEC-2-1---C', '43W-RTEC-2-2---7'}",1/12/2021 10:46,P,
44W-T-YV-000000A | 44W-T-YV-0000018,ENTSOE,"{'44W-T-YV-0000018', '44W-T-YV-000000A'}",1/12/2021 10:46,P,
44W-T-YV-0000026 | 44W-T-YV-0000034 | 44W-T-YV-0000042,ENTSOE,"{'44W-T-YV-0000026', '44W-T-YV-0000034', '44W-T-YV-0000042'}",1/12/2021 10:46,P,
46WPU00000000105 | 46WPU00000000113 | 46WPU00000000121 | 46WPU0000000014Y,ENTSOE,"{'46WPU00000000105', '46WPU0000000014Y', '46WPU00000000121', '46WPU00000000113'}",1/12/2021 10:46,P,
46WPU0000000015W | 46WPU0000000016U | 46WPU0000000017S,ENTSOE,"{'46WPU0000000017S', '46WPU0000000016U', '46WPU0000000015W'}",1/12/2021 10:46,P,
46WPU0000000056I | 46WPU0000000057G,ENTSOE,"{'46WPU0000000056I', '46WPU0000000057G'}",1/12/2021 10:46,P,
