,CARMA,JRC
1995,17916.0,2578.0
1996,17919.0,2878.0
1997,17983.0,2899.0
1998,18044.0,2905.0
1999,18146.0,2936.0
2000,18182.0,2951.0
2001,18222.0,2853.0
2002,18260.0,2962.0
2003,18367.0,3012.0
2004,18391.0,3019.0
2005,18430.0,3027.0
2006,18487.0,3035.0
2007,18498.0,3039.0
2008,18559.0,3299.0
2009,18673.0,3057.0
2010,18693.0,3058.0
2011,18700.0,3061.0
2012,18708.0,3062.0
2013,18712.0,3063.0
2014,18720.0,3065.0
2015,18721.0,3066.0
2016,18745.0,2294.0
2017,18748.0,3072.0
2018,18790.0,360.0
2019,18791.0,3182.0
2020,19014.0,3112.0
2021,19016.0,3113.0
2022,19170.0,3155.0
2023,19454.0,3228.0
2024,19507.0,3244.0
2025,19550.0,3251.0
2026,19604.0,3256.0
2027,19806.0,3291.0
2028,19809.0,3292.0
2029,19829.0,3295.0
2030,19867.0,3303.0
2031,19889.0,3308.0
2032,19940.0,1898.0
2033,20137.0,3345.0
2034,20244.0,361.0
2035,20339.0,3387.0
2036,20432.0,3401.0
2037,20491.0,3418.0
2038,20493.0,3435.0
2039,20561.0,3429.0
2040,20627.0,3433.0
2041,20727.0,3447.0
2042,20863.0,369.0
2043,20951.0,3466.0
2044,21088.0,3445.0
2045,21089.0,3490.0
2046,21092.0,2692.0
2047,21108.0,3492.0
2048,21157.0,3496.0
2049,73.0,9.0
2050,205.0,24.0
2051,395.0,48.0
2052,3398.0,433.0
2053,3418.0,436.0
2054,3544.0,455.0
2055,3966.0,500.0
2056,4020.0,504.0
2057,4388.0,532.0
2058,4399.0,533.0
2059,4415.0,534.0
2060,4483.0,548.0
2061,4563.0,564.0
2062,4743.0,588.0
2063,5583.0,732.0
2064,5795.0,2155.0
2065,5874.0,772.0
2066,5997.0,788.0
2067,6028.0,2847.0
2068,6042.0,793.0
2069,6309.0,846.0
2070,6713.0,914.0
2071,7026.0,959.0
2072,7028.0,960.0
2073,7497.0,1023.0
2074,8908.0,1308.0
2075,8910.0,1309.0
2076,9557.0,1415.0
2077,9641.0,1424.0
2078,9660.0,1425.0
2079,10413.0,1573.0
2080,10714.0,1637.0
2081,11082.0,1704.0
2082,11132.0,1708.0
2083,11133.0,1709.0
2084,11137.0,1710.0
2085,11331.0,1736.0
2086,11379.0,1741.0
2087,11421.0,1747.0
2088,11533.0,1766.0
2089,12758.0,1919.0
2090,12891.0,1932.0
2091,13021.0,1994.0
2092,15355.0,2360.0
2093,15472.0,2387.0
2094,15745.0,2440.0
2095,17183.0,2722.0
2096,17497.0,2801.0
2097,17841.0,2845.0
2098,18135.0,2935.0
2099,18869.0,3092.0
2100,19061.0,3124.0
2101,19139.0,3142.0
