,CARMA,GEO
448,14806.0,1113.0
449,14821.0,1103.0
450,14828.0,1107.0
451,14829.0,1108.0
452,14831.0,1106.0
453,14832.0,1109.0
454,14833.0,1110.0
455,14834.0,1111.0
456,14840.0,1112.0
457,14978.0,1122.0
458,15013.0,1127.0
459,15051.0,1129.0
460,15089.0,1134.0
461,15193.0,1138.0
462,15319.0,1152.0
463,15346.0,1153.0
464,15737.0,1165.0
465,15761.0,1166.0
466,15767.0,1168.0
467,15886.0,1180.0
468,16016.0,1194.0
469,16077.0,1198.0
470,16178.0,1203.0
471,16183.0,1204.0
472,16369.0,1220.0
473,16370.0,1219.0
474,16434.0,1223.0
475,16442.0,1224.0
476,16447.0,1225.0
477,16477.0,1229.0
478,16503.0,1234.0
479,16540.0,1119.0
480,16662.0,1245.0
481,16704.0,1247.0
482,16712.0,1249.0
483,16714.0,1250.0
484,16721.0,1248.0
485,17039.0,1343.0
486,17121.0,1266.0
487,17351.0,1289.0
488,17733.0,1308.0
489,17734.0,1309.0
490,17735.0,1310.0
491,18105.0,1329.0
492,18397.0,1348.0
493,18408.0,1350.0
494,18612.0,1413.0
495,18640.0,1373.0
496,18997.0,1400.0
497,19013.0,1401.0
498,19044.0,1394.0
499,19075.0,819.0
500,19076.0,1397.0
501,19123.0,1402.0
502,19134.0,1403.0
503,19504.0,1423.0
504,19567.0,1425.0
505,19639.0,1427.0
506,19700.0,1437.0
507,19704.0,1438.0
508,19705.0,1439.0
509,19707.0,1440.0
510,20096.0,1465.0
511,20050.0,858.0
512,20055.0,1461.0
513,20153.0,1469.0
514,20190.0,1473.0
515,20257.0,1477.0
516,20662.0,1509.0
517,471.0,33.0
518,1773.0,129.0
519,1793.0,131.0
520,1872.0,135.0
521,1892.0,141.0
522,2448.0,179.0
523,2704.0,191.0
524,2779.0,198.0
525,3748.0,264.0
526,4546.0,347.0
527,4877.0,378.0
528,5406.0,439.0
529,5415.0,833.0
530,5591.0,469.0
531,6326.0,517.0
532,6405.0,520.0
533,6452.0,525.0
534,6865.0,548.0
535,7096.0,558.0
536,7222.0,567.0
537,7410.0,585.0
538,7588.0,590.0
539,7795.0,598.0
540,8059.0,618.0
541,8180.0,621.0
542,8199.0,622.0
543,8252.0,626.0
544,8654.0,389.0
545,8761.0,649.0
546,8870.0,658.0
547,8940.0,667.0
548,8951.0,672.0
549,9080.0,680.0
550,9429.0,702.0
551,9798.0,727.0
552,9849.0,729.0
553,9893.0,732.0
554,10172.0,760.0
